中文單位名稱,電話,緯度Lat,經度Lng
外垵派出所,06 9981702,23.566087,119.482643
北港派出所,05 7832064,23.567973,120.302121
東衛派出所,06 9211318,23.56891,119.599478
土厝派出所,05 7852884,23.569167,120.268408
澎湖縣政府警察局,06 9272557,23.570119,119.56587
馬公分局,06 9273284,23.57058,119.576071
光明派出所,06 9272542,23.57058,119.576071
水林分駐所,05 7853541,23.572538,120.243791
金湖派出所,05 7971081,23.575158,120.147488
富源派出所,03 8811014,23.577674,121.376235
北港分局,05 7832015,23.580095,120.304421
梅山分駐所,05 2621003,23.581514,120.559017
北辰派出所,05 7834082,23.583779,120.299071
草嶺派出所,05 5831009,23.584243,120.69368
湖西分駐所,06 9921022,23.584534,119.657949
口湖分駐所,05 7892014,23.585325,120.180762
埤頭派出所,05 3760853,23.586789,120.365458
柳溝派出所,05 2691182,23.589862,120.423789
華山派出所,05 5901317,23.595502,120.594755
和社派出所,049 2701304,23.595925,120.888647
豐濱分駐所,03 8791148,23.598334,121.52248
好收派出所,05 7922194,23.599721,120.279259
西嶼分駐所,06 9981155,23.600146,119.510058
沙港派出所,06 9210779,23.60222,119.622173
大美派出所,05 2952905,23.602353,120.504866
大林分駐所,05 2652850,23.603022,120.455183
溪口分駐所,05 2691009,23.604354,120.396075
大富派出所,03 8731093,23.60584,121.392343
宏仁派出所,05 7851885,23.606635,120.238269
溝背派出所,05 2952902,23.613936,120.487482
樟湖派出所,05 5811151,23.61694,120.642177
下崙派出所,05 7991084,23.61764,120.164449
久美派出所,049 2831472,23.619038,120.884111
永光派出所,05 5821354,23.624367,120.553961
羅娜派出所,049 2831471,23.628089,120.869585
客厝派出所,05 7882764,23.62912,120.337222
講美派出所,06 9931501,23.632869,119.59824
竹灣派出所,06 9981701,23.635864,119.524656
四湖分駐所,05 7872031,23.637319,120.21987
飛沙派出所,05 7723235,23.637606,120.180898
怡美派出所,05 5912060,23.637712,120.404544
鹿寮派出所,05 7983725,23.639609,120.360319
杉林派出所,049 2611307,23.639918,120.791227
新鄉派出所,049 2831595,23.640277,120.868993
四維派出所,05 5973554,23.641604,120.481845
大埤分駐所,05 5912040,23.646134,120.428697
桶頭派出所,049 2711044,23.647197,120.655244
新社派出所,03 8711329,23.65099,121.535528
三崙派出所,05 7721270,23.652543,120.157295
建國派出所,05 5973724,23.65331,120.507605
元長分駐所,05 7882009,23.654304,120.313003
古坑分駐所,05 5821324,23.654441,120.559712
富田派出所,03 8702623,23.65914,121.449874
鳥嶼派出所,06 9916170,23.66023,119.656803
瑞竹派出所,049 2711710,23.662045,120.665671
光復分駐所,03 8701074,23.665539,121.424881
白沙派出所,06 9931071,23.666759,119.600071
白沙分局,06 9932849,23.667049,119.583007
通梁派出所,06 9931484,23.667049,119.583007
豐丘派出所,049 2791583,23.670616,120.875209
林厝派出所,05 7721265,23.671755,120.178211
溪頭派出所,049 2612173,23.673311,120.795345
東勢分駐所,05 6991032,23.675283,120.255324
溝埧派出所,05 5220334,23.675435,120.53789
土庫分駐所,05 6622514,23.677452,120.391961
新崙派出所,05 5973524,23.678671,120.449737
斗南分局,05 5972005,23.679508,120.472033
斗南派出所,05 5972047,23.679508,120.472033
東和派出所,05 5260642,23.684396,120.567771
新光派出所,05 5972540,23.69088,120.479663
褒忠分駐所,05 6972040,23.694682,120.310552
信義分局,049 2791260,23.697174,120.854327
信義派出所,049 2791261,23.697174,120.854327
雲林縣警察局,05 5338502,23.697251,120.535937
臺西派出所,05 6982244,23.700633,120.199475
臺西分局,05 6982041,23.700692,120.199538
大屯派出所,05 6651474,23.702696,120.387789
長平派出所,05 5327649,23.702823,120.504566
梅林派出所,05 5572493,23.702919,120.598044
公正派出所,05 5323180,23.702965,120.5541
安南派出所,05 6991514,23.704211,120.249782
馬光派出所,05 6652364,23.705854,120.356738
斗六分局,05 5322598,23.70779,120.540377
虎尾分局,05 6331771,23.70907,120.445381
虎尾派出所,05 6322118,23.70907,120.445381
斗六派出所,05 5322130,23.710854,120.545446
長橋派出所,03 8751314,23.711511,121.419449
萬榮分駐所,03 8751549,23.714541,121.409916
龍岩派出所,05 6972544,23.719831,120.310084
埒內派出所,05 6221995,23.72232,120.446388
崙豐派出所,05 6901560,23.722723,120.213237
榴中派出所,05 5573651,23.722744,120.583157
山興派出所,03 8741014,23.726406,121.498673
竹林派出所,049 2676142,23.726864,120.755568
頂林派出所,049 2648927,23.726939,120.667487
過溪派出所,049 2648927,23.726939,120.667487
惠來派出所,05 6222065,23.727803,120.488514
長安派出所,05 5517650,23.734066,120.533819
鳳凰派出所,049 2751102,23.734888,120.783921
吉貝派出所,06 9911165,23.741799,119.613301
鳳林分局,03 8762324,23.74229,121.45091
鳳林派出所,03 8762293,23.74229,121.45091
郡坑分駐所,049 2821481,23.74419,120.859132
吳厝派出所,05 5862484,23.744724,120.422841
鹿谷分駐所,049 2752040,23.746199,120.753971
麥寮分駐所,05 6932030,23.748737,120.255816
竹山分局,049 2642040,23.756989,120.682651
竹山派出所,049 2642012,23.756989,120.682651
林內分駐所,05 5892404,23.758285,120.616496
莿桐分駐所,05 5842025,23.75929,120.50002
崙背分駐所,05 6962016,23.762294,120.355206
中和派出所,049 2648620,23.763422,120.662982
延平派出所,049 2644365,23.766727,120.705881
重興派出所,05 5892514,23.768029,120.577592
二崙分駐所,05 5982595,23.770666,120.413119
埤源派出所,05 5862384,23.774661,120.477082
人倫派出所,049 2770310,23.779506,120.896609
饒平派出所,05 5842034,23.779617,120.519079
秀峰派出所,049 2671930,23.780126,120.77594
南平派出所,03 8771594,23.782987,121.459148
雙龍派出所,049 2741321,23.783461,120.947439
水璉派出所,03 8601011,23.783542,121.564723
豐榮派出所,05 6552159,23.792833,120.312694
青雲派出所,049 2741142,23.794419,120.942639
油車派出所,05 5982334,23.795237,120.390186
永定派出所,05 5982604,23.796809,120.416737
橋頭派出所,05 6911007,23.797083,120.274493
和心派出所,05 5862544,23.798681,120.442043
源泉派出所,04 8792374,23.800534,120.65553
西螺分局,05 5862301,23.800835,120.461708
西螺派出所,05 5862014,23.800835,120.461708
西林派出所,03 8771116,23.809513,121.442041
水里分駐所,049 2770117,23.811162,120.849179
二水分駐所,04 8790015,23.81254,120.618489
社寮派出所,049 2622002,23.815242,120.722842
潭南派出所,049 2741264,23.821611,120.939726
成功派出所,04 8802163,23.826157,120.547043
三條派出所,04 8895432,23.827432,120.49529
集集分局,049 2762702,23.828348,120.786093
集集派出所,049 2760828,23.828348,120.786093
頭社派出所,049 2861013,23.833868,120.896072
車埕派出所,049 2771154,23.834008,120.866424
崁峰派出所,049 2582138,23.835327,120.66122
隘寮派出所,049 781064,23.835974,120.748745
名間分駐所,049 2732149,23.837704,120.7037
永安派出所,04 8972684,23.84657,120.382524
中和派出所,04 8896155,23.846585,120.459093
伊達邵派出所,049 2850119,23.847272,120.932243
田中分局,04 8756910,23.847495,120.574718
豐田派出所,03 8651486,23.848501,121.494276
溪州分駐所,04 8895029,23.852895,120.493476
內安派出所,04 8742008,23.852904,120.601746
大城分駐所,04 8941012,23.855413,120.322668
赤水派出所,049 2271159,23.857244,120.629383
竹塘分駐所,04 8972014,23.859608,120.42771
田中派出所,04 8742051,23.860227,120.584687
西港派出所,04 8941334,23.863102,120.289666
日月潭派出所,049 2855121,23.86673,120.911413
月眉派出所,03 8631001,23.86848,121.555355
壽豐分駐所,03 8651337,23.869985,121.509364
鹽寮派出所,03 8671200,23.870282,121.598176
永和派出所,049 2271002,23.874286,120.654138
北斗分局,04 8882010,23.874776,120.523889
北斗派出所,04 8882604,23.874776,120.523889
新佳派出所,049 2225160,23.878527,120.693621
中寮分駐所,049 2691330,23.879301,120.765704
五城派出所,049 2895114,23.887842,120.888054
東光派出所,049 2880126,23.889923,120.966113
埤頭分駐所,04 8922041,23.891829,120.458105
田尾分駐所,04 8832854,23.892519,120.526233
路上派出所,04 8983844,23.892567,120.336734
原斗派出所,04 8902041,23.896683,120.426313
魚池分駐所,049 2895501,23.897027,120.936999
社頭分駐所,04 8732036,23.898579,120.588061
二林分駐所,04 8961072,23.899568,120.369833
朝興派出所,04 8732174,23.903468,120.610036
過坑派出所,049 2925753,23.905095,120.991848
芳苑分局,04 8960013,23.906674,120.347783
志學派出所,03 8661282,23.906927,121.530294
南投縣政府警察局,049 2222448,23.909765,120.678625
南投分局,049 2222923,23.910154,120.68323
南投派出所,049 2222336,23.910154,120.68323
武界派出所,049 2977001,23.916941,121.045993
萬豐派出所,049 2977001,23.916941,121.045993
海豐派出所,04 8222160,23.917668,120.502691
永靖分駐所,04 8221813,23.920309,120.547362
池南派出所,03 8641280,23.920891,121.506153
半山派出所,049 2251264,23.921593,120.676151
同安派出所,04 8222159,23.924179,120.527731
芳苑派出所,04 8983432,23.925117,120.31571
鳳鳴派出所,049 2291939,23.926062,120.637992
爽文派出所,049 2601049,23.934992,120.760344
光明派出所,049 2332586,23.938855,120.697525
媽厝派出所,04 8852814,23.940053,120.498991
永清派出所,049 2325314,23.941422,120.678714
南華派出所,03 8521672,23.942495,121.544557
桃米派出所,049 2913832,23.942554,120.929713
光華派出所,03 8423135,23.943374,121.596673
林厝派出所,04 8313012,23.943575,120.600893
舊館派出所,04 8292854,23.948404,120.52589
中興分局,049 2332585,23.950401,120.693616
中興派出所,049 2332544,23.950401,120.693616
隆生派出所,049 2904298,23.95151,120.961647
埔心分駐所,04 8291545,23.953012,120.541881
草湖派出所,04 8862438,23.953441,120.382674
萬興派出所,04 8682039,23.954032,120.420787
府西派出所,049 2332557,23.957869,120.685129
上林派出所,049 2329309,23.958127,120.671863
莒光派出所,04 8357857,23.962491,120.561906
員林分局,04 8320114,23.962503,120.579523
員林派出所,04 8320767,23.962503,120.579523
溪湖派出所,04 8852404,23.962614,120.479514
稻香派出所,03 8521340,23.96323,121.569732
東山派出所,04 8313374,23.963577,120.600657
銅門派出所,03 8641051,23.965292,121.49443
王功派出所,04 8932151,23.965901,120.341485
埔里分局,049 2982429,23.966638,120.969569
埔里派出所,049 2998439,23.966638,120.969569
溪湖分局,04 8852026,23.967002,120.48346
吉安分局,03 8531701,23.967913,121.593156
仁里派出所,03 8527894,23.967913,121.593156
親愛派出所,049 2974245,23.968288,121.108318
吉安派出所,03 8525894,23.973459,121.56343
草屯派出所,049 2362066,23.973497,120.681132
愛蘭派出所,049 2912334,23.974532,120.943475
中華派出所,03 8328342,23.975236,121.598487
中正派出所,03 8326822,23.975389,121.605066
復興派出所,049 2334783,23.975877,120.667691
花蓮分局,03 8354008,23.97615,121.612113
軒轅派出所,03 8328344,23.97615,121.612113
鯉潭派出所,049 2987829,23.976265,120.986765
中正派出所,049 2306200,23.978873,120.686481
草屯分局,049 2362002,23.978953,120.694203
中山派出所,03 8328343,23.981313,121.605505
北山派出所,049 2451181,23.981523,120.872901
雙冬派出所,049 2571222,23.983693,120.791456
豐城派出所,049 2552223,23.984557,120.741894
縣庄派出所,049 2525151,23.98773,120.637511
北昌派出所,03 8569376,23.988074,121.592012
村上派出所,04 8525474,23.989201,120.564378
太昌派出所,03 8569425,23.991571,121.575185
新光派出所,049 2321224,23.992493,120.671017
自強派出所,03 8569374,23.993174,121.592377
花蓮縣警察局,03 8224138,23.993198,121.620169
豐川派出所,03 8357871,23.993205,121.604507
安山派出所,04 8590056,23.993369,120.612097
美崙派出所,03 8228341,23.994854,121.631437
大村分駐所,04 8522014,23.994997,120.54472
埔東派出所,04 8653784,23.996849,120.47542
史港派出所,049 2931692,24.000762,120.963368
民意派出所,03 8227827,24.001094,121.620265
水源派出所,03 8572083,24.00306,121.556122
南豐派出所,049 2920085,24.003383,121.065576
漢寶派出所,04 8991219,24.005014,120.384811
埔鹽分駐所,04 8653553,24.007432,120.459922
長壽派出所,049 2721130,24.012503,120.819482
三家派出所,04 7862454,24.014085,120.566496
芬園分駐所,049 2522419,24.015201,120.628312
嘉里派出所,03 8264135,24.016479,121.607088
外中派出所,04 7792048,24.017613,120.472055
廬山派出所,049 2802521,24.022494,121.188054
松岡派出所,049 2802395,24.023193,121.132827
仁愛分局,049 2802204,24.023327,121.132413
霧社派出所,049 2802520,24.023327,121.132413
萬豐派出所,04 23302873,24.026226,120.696599
春陽派出所,049 2802396,24.027825,121.149119
花壇分駐所,04 7862014,24.028298,120.548985
秀水分駐所,04 7692964,24.029392,120.499334
洪堀派出所,04 7704441,24.029984,120.426687
北埔派出所,03 8262484,24.034716,121.603289
合成派出所,049 2931587,24.03669,120.924807
國姓分駐所,049 2721232,24.04018,120.857625
秀安派出所,04 7692304,24.041691,120.509086
福興分駐所,04 7775405,24.046886,120.450179
馬鳴派出所,04 7692082,24.051144,120.505372
和興派出所,04 7772119,24.052847,120.436006
佳民派出所,03 8263274,24.054144,121.599854
溪南派出所,04 23351676,24.056447,120.646201
鹿港派出所,04 7772118,24.057116,120.433332
梅林派出所,049 2461041,24.057951,120.912166
鹿港分局,04 7772001,24.059351,120.438134
平靜派出所,049 2970196,24.060144,121.192226
靜觀派出所,049 2970196,24.060144,121.192226
四德派出所,04 23398281,24.060172,120.666088
中原派出所,049 2941073,24.063187,120.968763
眉原派出所,049 2941073,24.063187,120.968763
清流派出所,049 2941073,24.063187,120.968763
彰化縣警察局,04 7619881,24.065906,120.534337
霧峰派出所,04 23393013,24.066867,120.700396
莿桐派出所,04 7523151,24.067442,120.524485
大埔派出所,04 7113043,24.067691,120.541379
快官派出所,04 7381006,24.068253,120.613335
長流派出所,049 2431040,24.072511,120.876685
民族路派出所,04 7228433,24.073537,120.539877
霧峰分局,04 23302139,24.075296,120.700173
吉峰派出所,04 23334342,24.075296,120.700173
八卦山派出所,04 7284292,24.077527,120.544546
彰化分局,04 7222439,24.080508,120.542861
加灣派出所,03 8260769,24.081965,121.608938
中正派出所,04 7636696,24.082951,120.532369
民生路派出所,04 7228644,24.083445,120.542489
海埔派出所,04 7775565,24.084503,120.444247
成功派出所,04 24969293,24.084832,120.697711
大竹派出所,04 7381107,24.084846,120.580582
頂番派出所,04 7711934,24.086197,120.481352
五光派出所,04 23381960,24.092542,120.647711
仁化派出所,04 24952010,24.09464,120.71541
泰和派出所,04 7237560,24.095732,120.556062
大里分駐所,04 24060634,24.097986,120.676892
大霞派出所,04 7555564,24.101602,120.503915
十九甲派出所,04 22706613,24.102319,120.700151
嘉犁派出所,04 7555574,24.103204,120.516478
中寮派出所,04 7355184,24.105385,120.53318
翠峰派出所,049 2802603,24.105398,121.197124
烏日分局,04 23369595,24.10605,120.622755
烏日派出所,04 23381448,24.10605,120.622755
草港派出所,04 7713404,24.106437,120.457794
國光派出所,04 24180232,24.106962,120.679481
三和派出所,04 23388011,24.108003,120.602885
宏龍派出所,04 22702700,24.109495,120.730155
和美分局,04 7552031,24.111024,120.499625
和美派出所,04 7554005,24.111024,120.499625
勤工派出所,04 22612716,24.112231,120.650749
內新派出所,04 24875584,24.11515,120.689821
瑞岩派出所,049 2955185,24.115781,121.161308
秀林分駐所,03 8611090,24.118494,121.624226
健康派出所,04 22634622,24.119671,120.667067
追分派出所,04 26932108,24.121449,120.570339
頭汴派出所,04 22704962,24.123657,120.750553
新城分局,03 8611204,24.126926,121.653299
新城派出所,03 8611004,24.126926,121.653299
太平派出所,04 22780418,24.129875,120.719393
第三分局,04 22220498,24.130693,120.673459
正義派出所,04 22223319,24.130723,120.673525
線西分駐所,04 7582247,24.131056,120.470535
塗厝派出所,04 7555584,24.134189,120.505849
第四分局,04 23892110,24.134218,120.643438
立德派出所,04 22203248,24.135764,120.689908
春社派出所,04 23824719,24.135873,120.611526
繼中派出所,04 22224119,24.137321,120.683832
第一分局,04 22223725,24.138271,120.675788
西區分駐所,04 22222632,24.138271,120.675788
南屯派出所,04 23824718,24.139519,120.638308
東區分駐所,04 22124179,24.141312,120.69446
大墩派出所,04 24724871,24.141987,120.649707
太平分局,04 23938100,24.142225,120.732368
坪林派出所,04 23937396,24.142225,120.732368
大誠分駐所,04 22221373,24.143991,120.679476
公園派出所,04 22230097,24.144112,120.685634
公益派出所,04 24727640,24.145821,120.656478
文正派出所,04 22011252,24.146994,120.674657
望洋派出所,049 2955210,24.147858,121.189277
富世派出所,03 8611344,24.14806,121.62863
新平派出所,04 23912446,24.149576,120.714108
育才派出所,04 22223695,24.15046,120.684636
合作派出所,04 23602711,24.151821,120.692897
瑞井派出所,04 26910205-6,24.152701,120.572465
大肚分駐所,04 26992167,24.155008,120.544427
黎明派出所,04 22528219,24.155896,120.633999
福中派出所,04 25941364,24.159173,120.864889
伸港分駐所,04 7982044,24.159337,120.485779
第六分局,04 22513284,24.1595,120.639022
市政派出所,04 22513312,24.1595,120.639022
紅香派出所,049 2955187,24.160364,121.176608
崇德派出所,03 8621043,24.162575,121.652053
北屯派出所,04 22332712,24.163872,120.693838
第二分局,04 22351200,24.164981,120.68223
永興派出所,04 22352735,24.164981,120.68223
何安派出所,04 23149343,24.16623,120.659118
工業區派出所,04 23596317,24.16877,120.60787
和平派出所,04 25941324,24.169203,120.869643
立人派出所,04 22973545,24.169853,120.668442
文昌派出所,04 22377714,24.170403,120.680708
和平分局,04 25942560,24.175099,120.884083
水湳派出所,04 22979937,24.178458,120.668166
龍東派出所,04 26397043,24.178659,120.530428
東山派出所,04 22392713,24.179045,120.740304
西屯派出所,04 27012717,24.181061,120.637955
天輪派出所,04 25941193,24.181677,120.926886
第五分局,04 22427113,24.182012,120.686531
松安派出所,04 22461750,24.182351,120.699868
犁份派出所,04 26312719,24.182626,120.584018
翠巒派出所,049 2960040,24.182713,121.203554
天祥派出所,03 8691139,24.183791,121.494401
協和派出所,04 23593736,24.183867,120.6089
合歡派出所,042 5991114,24.186319,121.338888
龍井分駐所,04 26353054,24.19177,120.545677
四平派出所,04 24222714,24.19259,120.682099
頭家派出所,04 25353818,24.192869,120.700189
永福派出所,04 24613009,24.194333,120.610251
華崗派出所,049 2960200,24.197176,121.230012
麗水派出所,04 26395994,24.197871,120.514633
龍津派出所,04 26396084,24.201115,120.522671
臺中市政府警察局,04 23274440,24.201631,120.722674
民權派出所,04 22012710,24.201631,120.722674
谷關派出所,04 25951114,24.202966,121.006565
東興派出所,04 25811476,24.206922,120.821192
潭子分駐所,04 25348866,24.209754,120.704654
潭北派出所,04 25361651,24.21478,120.706692
明秀派出所,04 26314309,24.215978,120.571334
馬岡派出所,04 25662064,24.21616,120.667308
永源派出所,04 25811475,24.219356,120.792203
茅埔派出所,04 25852472,24.219388,120.837779
榮興派出所,04 25991064,24.223195,121.289497
大雅分局,04 25665216,24.224738,120.64715
大雅派出所,04 25680184,24.224778,120.647143
新社分駐所,04 25811401,24.234079,120.809951
沙鹿分駐所,04 26625032,24.234538,120.566401
中坑派出所,04 25874474,24.236295,120.854287
大棟派出所,04 25971106,24.240996,120.907216
合作派出所,04 25293134,24.242962,120.716078
豐原分局,04 25224684,24.243685,120.713565
光華派出所,04 26630624,24.244207,120.567694
清泉派出所,04 26153884,24.246031,120.609917
豐東派出所,04 25286917,24.248616,120.730474
豐原派出所,04 25250092,24.248864,120.714204
安寧派出所,04 26560343,24.249593,120.538411
社口派出所,04 25625392,24.249974,120.686456
梨山分駐所,04 25989580,24.254336,121.246707
梧棲分駐所,04 26562860,24.254863,120.533828
頂街派出所,04 20228150,24.254875,120.723226
神岡分駐所,04 25622422,24.256609,120.658849
德基派出所,04 25980439,24.25753,121.209018
東勢分局,04 23302139,24.258415,120.827933
東勢派出所,04 25873802,24.258415,120.827933
土牛派出所,04 25817493,24.260034,120.816174
翁子派出所,04 25275594,24.260686,120.736639
豐洲派出所,04 25272585,24.261972,120.703525
雪山派出所,04 25883514,24.267432,121.020213
清水分局,04 26222022,24.269257,120.574085
清水派出所,04 26222054,24.269257,120.574085
大楊派出所,04 26202409,24.27319,120.63129
石岡分駐所,04 25722781,24.274788,120.78097
大秀派出所,04 26265404,24.280302,120.553669
石城派出所,04 25874473,24.285093,120.789163
松茂派出所,04 25989692,24.287094,121.264788
雙崎派出所,04 25911214,24.292027,120.909257
三田派出所,04 26222146,24.292992,120.588192
義里派出所,04 25562333,24.30483,120.721737
竹林派出所,04 25911114,24.305138,120.924584
后里分駐所,04 25562037,24.30517,120.71018
和平派出所,03 8681034,24.308682,121.748622
高美派出所,04 26113384,24.311365,120.56253
卓蘭分駐所,04 25892017,24.31271,120.825583
月眉派出所,04 25562384,24.313405,120.692182
環山派出所,04 25802242,24.313727,121.295384
泰安派出所,04 25562340,24.324186,120.751767
澳花派出所,03 9985152,24.329717,121.739466
外埔分駐所,04 26832690,24.332295,120.655429
坪林派出所,04 25921101,24.334405,120.874819
桃山派出所,04 25911314,24.339875,120.935857
志良派出所,04 25901040,24.34053,121.312765
安定派出所,04 26831522,24.345251,120.704189
大甲分局,04 26872039,24.345389,120.6267
大甲派出所,04 26872047,24.345389,120.6267
大安分駐所,04 26713320,24.346268,120.587832
鯉魚派出所,037 881040,24.349751,120.743113
大安派出所,037 962241,24.360022,120.94882
象鼻派出所,037 962243,24.360517,120.94818
勝光派出所,04 25901004,24.368595,121.338722
校林派出所,037 951337,24.373268,120.842513
龍騰派出所,037 872396,24.378483,120.749554
日南派出所,04 26813700,24.37927,120.653483
海墘派出所,04 26875845,24.379525,120.586705
社苓派出所,037 742508,24.389409,120.684903
梅園派出所,037 962131,24.393057,120.978973
中興派出所,037 992350,24.39404,120.920312
南湖派出所,037 991547,24.401457,120.867312
三義分駐所,037 872003,24.412781,120.769846
山腳派出所,037 740217,24.417231,120.686234
西岐派出所,04 26811320,24.420013,120.628829
大興派出所,037 992349,24.421319,120.910822
大湖分局,037 991006,24.422875,120.866272
大湖派出所,037 991041,24.422875,120.866272
金門縣警察局,082 325341,24.428567,118.322436
雞隆派出所,037 971012,24.428931,120.808427
烈嶼分駐所,082 362110,24.433153,118.242686
金城分局,082 328094,24.436514,118.319462
金城派出所,082 325539,24.436514,118.319462
南山派出所,03 9809175,24.436801,121.379438
金湖分局,082 335093,24.441863,118.413693
金湖派出所,082 332559,24.441863,118.413693
苑裡分駐所,037 861024,24.443752,120.653313
中和派出所,037 782254,24.446826,120.721553
泰安分駐所,037 941057,24.448063,120.907896
武塔派出所,03 9981902,24.449398,121.777231
金寧分駐所,082 325520,24.45149,118.335322
汶水派出所,037 991648,24.457691,120.875933
南澳分駐所,03 9981120,24.465879,121.803235
龍山派出所,037 941136,24.46979,120.968452
八卦派出所,037 941137,24.46979,120.968452
福基派出所,037 225984,24.472239,120.830723
碧候派出所,03 9981903,24.475161,121.786551
銅鑼分駐所,037 981014,24.48705,120.78722
四季派出所,03 9809435,24.487553,121.426608
金沙分駐所,082 352260,24.490345,118.411233
通霄分局,037 752464,24.490772,120.682198
通霄派出所,037 752001,24.490772,120.682198
太平山派出所,03 9809802,24.493093,121.536703
太平山檢查哨,03 9809860,24.497444,121.535128
公館分駐所,037 225683,24.503654,120.827111
觀霧派出所,037 273038,24.50639,121.113717
烏眉派出所,037 753164,24.50888,120.722552
埔口派出所,037 792143,24.512655,120.690991
和興派出所,037 931230,24.514587,120.910504
東澳派出所,03 9986080,24.519604,121.831901
高湖派出所,037 911414,24.522607,120.776011
鶴岡派出所,037 226975,24.531959,120.832086
陸家派出所,037 821570,24.538718,121.027441
獅潭分駐所,037 931348,24.541514,120.922076
苗栗分局,037 320059,24.541732,120.821027
蓬萊派出所,037 822040,24.544206,120.971753
南苗派出所,037 320367,24.550855,120.814355
西湖分駐所,037 921031,24.558615,120.757833
苗栗縣警察局,037 321303,24.563918,120.820115
白沙派出所,037 792134,24.564407,120.710687
雲山派出所,03 5856689,24.565062,121.089544
文山派出所,037 337127,24.565954,120.81054
北苗派出所,037 260344,24.57171,120.829679
南勢派出所,037 921445,24.574477,120.73541
百壽派出所,037 931231,24.579481,120.941004
頭屋分駐所,037 253103,24.581039,120.866145
南方澳派出所,03 9963580,24.582355,121.866119
明德派出所,037 252538,24.584648,120.88453
蘇澳分局,03 9951356,24.595875,121.844818
蘇澳派出所,03 9962126,24.595875,121.844818
桃山派出所,03 5856043,24.596464,121.108905
南庄分駐所,037 822004,24.597725,120.998945
東河派出所,037 822094,24.599122,121.042261
寒溪派出所,03 9517465,24.610482,121.688552
新港派出所,037 722474,24.611293,120.813329
泰崗派出所,03 5847322,24.611671,121.296281
港邊派出所,03 9905608,24.611838,121.852487
聯港派出所,037 450734,24.612387,120.760176
英士派出所,03 9801325,24.613396,121.52624
後龍分駐所,037 722520,24.613634,120.786333
新城派出所,03 9969827,24.614777,121.813354
茅圃派出所,03 5851149,24.615848,121.103073
秀巒派出所,03 5847523,24.617945,121.285453
大河派出所,037 831081,24.618026,120.948814
馬賽派出所,03 9902604,24.618074,121.834965
羅山派出所,03 5851214,24.624747,121.147753
田美派出所,037 822134,24.629089,121.01157
五峰分駐所,03 5851029,24.631761,121.119821
冬山分駐所,03 9591651,24.633981,121.793228
南埔派出所,037 822752,24.635428,120.978858
清水檢查哨,03 9894520,24.640487,121.617005
牛鬥派出所,03 9891731,24.64079,121.569567
造橋分駐所,037 563224,24.641976,120.866793
花園派出所,03 5851147,24.646037,121.151098
大山派出所,037 431764,24.648528,120.810975
外埔派出所,037 431361,24.648671,120.775334
明池派出所,03 9801727,24.650098,121.473405
談文派出所,037 622664,24.653768,120.852006
順安派出所,03 9581804,24.654522,121.764202
三灣分駐所,037 831071,24.655005,120.956923
光華派出所,03 3912253,24.655407,121.399218
玉峰派出所,03 5847202,24.660045,121.300669
福山派出所,03 9893224,24.661906,121.6218
上坪派出所,03 5961744,24.664076,121.120485
尖山派出所,037 622763,24.66456,120.881392
利澤派出所,03 9503512,24.666204,121.823464
三星分局,03 9891564,24.666478,121.652108
三星派出所,03 9892561,24.666478,121.652108
大隱派出所,03 9898910,24.667506,121.700804
宇老派出所,03 5847238,24.667658,121.281902
成功派出所,03 9542471,24.669616,121.770784
廣興派出所,03 9512210,24.669701,121.749278
開羅派出所,03 9542121,24.67178,121.777356
三光派出所,03 3912258,24.672374,121.367311
大同分駐所,03 9801176,24.677676,121.608937
梅花派出所,03 5841681,24.678097,121.208362
羅東分局,03 9542071,24.6785,121.769424
公正派出所,03 9542029,24.6785,121.769424
那羅派出所,03 5841682,24.679272,121.243623
斗坪派出所,037 665770,24.680765,120.946259
竹南分局,037 478032,24.685148,120.878538
竹南派出所,037 474796,24.685148,120.878538
巴陵派出所,03 3912180,24.685985,121.398612
富興派出所,03 5806584,24.686885,120.987902
五結分駐所,03 9504381,24.687577,121.797888
峨眉分駐所,03 5800344,24.688201,121.021721
大洲派出所,03 9573517,24.693019,121.728824
頭份分局,037 663306,24.693963,120.905946
頭份派出所,037 663004,24.693963,120.905946
北埔分駐所,03 5802214,24.698969,121.057079
二結派出所,03 9653901,24.702599,121.767985
尖石分駐所,03 5841144,24.705401,121.201249
內灣派出所,03 5849164,24.705975,121.175659
大同派出所,037 581712,24.709468,120.896914
內城派出所,03 9221996,24.715006,121.69537
橫山分局,03 5931004,24.716373,121.141571
橫山派出所,03 5931002,24.716382,121.14157
橫村派出所,03 5934387,24.718464,121.117985
下公館派出所,03 5948392,24.723408,121.098534
惠好派出所,03 9221994,24.729218,121.729215
進士派出所,03 9252219,24.730955,121.761629
新樂派出所,03 5841676,24.732487,121.251344
新城派出所,03 5762353,24.732829,120.966275
楓橋派出所,03 5761140,24.733645,121.027961
秀湖派出所,03 5932812,24.734096,121.117007
沙坑派出所,03 5811054,24.736723,121.162812
竹東分局,03 5962081,24.737365,121.086743
竹東派出所,03 5962057,24.737365,121.086743
榮華派出所,03 3821016,24.739211,121.347571
大湖派出所,03 9221995,24.743307,121.697364
員山分駐所,03 9222015,24.745179,121.726727
壯圍分駐所,03 9382162,24.746341,121.786335
宜蘭縣政府警察局,03 9322271,24.749141,121.753804
延平派出所,03 9381784,24.750497,121.772901
